omega,magnitude,phase
1.5646363411996225,0.011422913207463322,0.8678542038771434
1.5769563123901706,0.010873701807087889,0.8568770206127723
1.5892762835807188,0.010350851722697242,0.8460474611111597
1.601596254771267,0.009853026606053175,0.8353615354801478
1.6139162259618154,0.009378964485774344,0.824815394220214
1.6262361971523636,0.008927473183684342,0.8144053217593742
1.6385561683429117,0.008497426041549825,0.8041277303505222
1.65087613953346,0.008087757935368006,0.7939791543073103
1.663196110724008,0.007697461556165599,0.7839562445564406
1.6755160819145563,0.007325583937924033,0.7740557634859005
1.6878360531051044,0.006971223214761042,0.7642745800701671
1.7001560242956528,0.006633525590888766,0.7546096652547988
1.712475995486201,0.006311682508143491,0.745058087584096
1.7247959666767492,0.006004927997052738,0.7356170090566952
1.7371159378672973,0.005712536198479888,0.7262836811950267
1.7494359090578455,0.005433819043873527,0.7170554413155594
1.7617558802483937,0.005168124083055501,0.7079297089876855
1.774075851438942,0.0049148324493153836,0.6989039826699129
1.7863958226294903,0.004673356952345404,0.6899758365128391
1.7987157938200384,0.004443140290255275,0.6811429173190807
1.8110357650105866,0.00422365337255516,0.6724029416510001
1.8233557362011348,0.004014393746592728,0.6637536930776924
1.835675707391683,0.00381488412048057,0.6551930195532424
1.8479956785822313,0.0036246709760574965,0.6467188309188173
1.8603156497727795,0.0034433232658948975,0.6383290965216101
1.8726356209633277,0.0032704311887906123,0.6300218429441367
1.8849555921538759,0.0031056050385907205,0.6217951518377718
1.897275563344424,0.002948474121547094,0.6136471578548269
1.9095955345349722,0.0027986857377578596,0.6055760466738169
1.9219155057255204,0.0026559042225513417,0.5975800531128889
1.9342354769160688,0.002519810043963925,0.5896574593267276
1.946555448106617,0.002390098952730219,0.5818065930825025
1.9588754192971651,0.0022664811814518127,0.5740258261107194
1.9711953904877133,0.002148680689840423,0.5663135725270795
1.9835153616782615,0.0020364344531437063,0.5586682873216747
1.9958353328688097,0.0019294917910587994,0.551088464912086
2.008155304059358,0.0018276137346211576,0.5435726377571282
2.020475275249906,0.0017305724287253288,0.5361193750281981
2.0327952464404544,0.0016381505680911682,0.5287272813353412
2.0451152176310026,0.0015501408646346638,0.5213949955053316
2.0574351888215507,0.0014663455443375694,0.5141211894092031
2.069755160012099,0.0013865758718356214,0.5069045668368211
2.082075131202647,0.0013106517010616986,0.499743862416218
2.0943951023931953,0.001238401050388667,0.49263784057553833
2.1067150735837434,0.0011696597008174234,0.4855852945455667
